GEO_ID,GEO_ID2,tract20,tract20_nbhd
1400000US25025140105,25025140105,"Census Tract 1401.05, Suffolk County, Massachusetts",Hyde Park
1400000US25025140106,25025140106,"Census Tract 1401.06, Suffolk County, Massachusetts",Roslindale
1400000US25025140107,25025140107,"Census Tract 1401.07, Suffolk County, Massachusetts",Hyde Park
1400000US25025140201,25025140201,"Census Tract 1402.01, Suffolk County, Massachusetts",Hyde Park
1400000US25025140202,25025140202,"Census Tract 1402.02, Suffolk County, Massachusetts",Hyde Park
1400000US25025140300,25025140300,"Census Tract 1403, Suffolk County, Massachusetts",Hyde Park
1400000US25025140400,25025140400,"Census Tract 1404, Suffolk County, Massachusetts",Hyde Park
1400000US25025980101,25025980101,"Census Tract 9801.01, Suffolk County, Massachusetts",Harbor Islands
1400000US25025980300,25025980300,"Census Tract 9803, Suffolk County, Massachusetts",Roxbury
1400000US25025980700,25025980700,"Census Tract 9807, Suffolk County, Massachusetts",Hyde Park
1400000US25025980900,25025980900,"Census Tract 9809, Suffolk County, Massachusetts",West Roxbury
1400000US25025981000,25025981000,"Census Tract 9810, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025981100,25025981100,"Census Tract 9811, Suffolk County, Massachusetts",Mattapan
1400000US25025981201,25025981201,"Census Tract 9812.01, Suffolk County, Massachusetts",South Boston
1400000US25025981202,25025981202,"Census Tract 9812.02, Suffolk County, Massachusetts",South Boston Waterfront
1400000US25025981300,25025981300,"Census Tract 9813, Suffolk County, Massachusetts",East Boston
1400000US25025981501,25025981501,"Census Tract 9815.01, Suffolk County, Massachusetts",Fenway
1400000US25025981600,25025981600,"Census Tract 9816, Suffolk County, Massachusetts",East Boston
1400000US25025981700,25025981700,"Census Tract 9817, Suffolk County, Massachusetts",Beacon Hill
1400000US25025981800,25025981800,"Census Tract 9818, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025981900,25025981900,"Census Tract 9819, Suffolk County, Massachusetts",West Roxbury
1400000US25025990101,25025990101,"Census Tract 9901.01, Suffolk County, Massachusetts","_Census Tract 9901.01, Suffolk County, Massachusetts"
